"June, July, Aug",06/16/20,12:19,"Bob ""K6RWY Van Tuyl",Field Operator,Last half of June and  all of July,Bob,102
06/16/20,17:29,,18:29,29 Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,17:29,,18:29,30 Prep for Dinner. Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,21:18,,22:00,31 Watching SeaChange Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,21:21,,22:00,32 Still watching SeaChange Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/17/20,15:02,,16:00,33 Listening to Maureen Play Bridge On-Line Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/17/20,13:00,06/19/20,23:20,34 Experimenting Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/19/20,18:23,,,35 Prep for Dinner on Friday Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,17:29,,18:29,36 Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,17:29,,18:29,37 Prep for Dinner. Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,21:18,,22:00,38 Watching SeaChange Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,21:21,,22:00,39 Still watching SeaChange Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/17/20,15:02,,16:00,40 Listening to Maureen Play Bridge On-Line Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/17/20,13:00,06/19/20,23:20,41 Experimenting Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/19/20,18:23,,,42 Prep for Dinner on Friday Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,17:29,,18:29,43 Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,17:29,,18:29,44 Prep for Dinner. Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,21:18,,22:00,45 Watching SeaChange Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,21:21,,22:00,46 Still watching SeaChange Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/17/20,15:02,,16:00,47 Listening to Maureen Play Bridge On-Line Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/17/20,13:00,06/19/20,23:20,48 Experimenting Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/19/20,18:23,,,49 Prep for Dinner on Friday Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,17:29,,18:29,50 Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,17:29,,18:29,51 Prep for Dinner. Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,21:18,,22:00,52 Watching SeaChange Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,21:21,,22:00,53 Still watching SeaChange Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/17/20,15:02,,16:00,54 Listening to Maureen Play Bridge On-Line Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/17/20,13:00,06/19/20,23:20,55 Experimenting Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/19/20,18:23,,,56 Prep for Dinner on Friday Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/19/20,18:23,,,57 Prep for Dinner on Friday Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/19/20,18:23,,,58 Prep for Dinner on Friday Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/19/20,18:23,,,59 Prep for Dinner on Friday Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/19/20,18:23,,,60 Prep for Dinner on Friday.
06/19/20,18:23,,,61 Prep for Dinner on Friday.

,Total Time:,,501.20,hours
